13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ime županije;Grad ili općina;"Ime grada ili
općine";Najčešća prezimena 1);;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10
Varaždinska;Grad;Novi Marof;KOPJAR;ŽUGEC;MEŠTRIĆ;HORVAT;KOŠĆAK;SLUNJSKI;BENJAK;PUŠKADIJA;ĐURIN;RABUZIN
Varaždinska;Grad;Varaždin;HORVAT;NOVAK;KOCIJAN;KOVAČIĆ;BOGOVIĆ;PLANTAK;LABAŠ;PINTARIĆ;TOMAŠKOVIĆ;POSAVEC
Varaždinska;Grad;Varaždinske Toplice;HORVAT;POKOS;BEŠENIĆ;POSAVEC;RATKOVIĆ;DVORSKI;HUZJAK;PRSTEC;VUK;BALAŽINEC
Varaždinska;Općina;Bednja;HRANJ;JAGARINEC;DUKARIĆ;POLANČEC;HOJSAK;GALINEC;GAŠPARIĆ;GRABAR;TUŠEK;DUBOVEČAK
Varaždinska;Općina;Beretinec;HORVAT;PLANTAK;ŽGANEC;KUŠTER;BLAŽI;KAPEŠ;LISIČAK;ŠINKO;NOVOSELEC;HUĐEK
Varaždinska;Općina;Breznica;ŠARGAČ;ANDRAŠEK;ROGINEK;MRAZOVIĆ;LONČAREK;MATAK;KLASIĆ;TRGLAČNIK;MARGETIĆ;ŽEŽELJ
Varaždinska;Općina;Breznički Hum;HORVAT;IVANČAN;KOŽIĆ;SEKOVANIĆ;ŠAFRAN;VNUČEC;KUZMIĆ;HRKOVIĆ;ČRLENEC;VRBANEC
Varaždinska;Općina;Cestica;LAZAR;BORAK;MAJHEN;FURJAN;HUTINSKI;KOKOT;ŽUPANIĆ;KOROTAJ;IVANČIĆ;ORŠOŠ
Varaždinska;Općina;Donja Voća;BOLČEVIĆ;STOLNIK;KUKEC;PREMUŽIĆ;MARTAN;PATRČEVIĆ;KOMES;KANJIR;MEDENJAK;ŠVETAK
Varaždinska;Općina;Gornji Kneginec;KANIŠKI;HORVATIĆ;VITEZ;KERETIĆ;CVEK;VUGRINEC;HORVAT;MEDVED;LEVATIĆ;ČURILA
Varaždinska;Općina;Jalžabet;HORVAT;MAGIĆ;NOVOSEL;VUKOVIĆ;MLINARIĆ;NOVAK;SAČIĆ;FILIPAŠIĆ;KOVAČIĆ;PAVLIČEVIĆ
Varaždinska;Općina;Klenovnik;BUNIĆ;PINTARIĆ;SREDNOSELEC;GOLUB;OREŠKI;GLADOVIĆ;ŠARKO;OŠTARJAŠ;KRUHOBEREC;LAZAR
Varaždinska;Općina;Ljubešćica;SAKAČ;GOTIĆ;ŠPANIĆ;MIKULČIĆ;IVANUŠEC;HORVATIĆ;ŠTRIGA;TOMIEK;ŽUGEC;DVORSKI
